Circonscription,Liste,Ordre,Nom,Prénom,Nationalité
Fort-de-France,COMBAT OUVRIER,1,JEAN-MARIE,Gabriel,Française
Fort-de-France,COMBAT OUVRIER,2,MARTHE-DITE-SURELLY,Marie-Hellen,Française
Fort-de-France,COMBAT OUVRIER,3,MAUGEE,Louis,Française
Fort-de-France,COMBAT OUVRIER,4,DIGONAL,Rosette,Française
Fort-de-France,COMBAT OUVRIER,5,BONHEUR,Daniel,Française
Fort-de-France,COMBAT OUVRIER,6,COLLOT,Annie,Française
Fort-de-France,COMBAT OUVRIER,7,MARTAIL,Fred,Française
Fort-de-France,COMBAT OUVRIER,8,SOREL,Véronique,Française
Fort-de-France,COMBAT OUVRIER,9,BATTET,Michel,Française
Fort-de-France,COMBAT OUVRIER,10,LEPRIX,Madjanie,Française
EOF
