COMMUNE,LISTE,ORDRE,NOM,PRENOM
Fort-de-France,COMBAT OUVRIER,1,JEAN-MARIE,Gabriel
Fort-de-France,COMBAT OUVRIER,2,MARTHE-DITE-SURELLY,Marie-Hellen
Fort-de-France,COMBAT OUVRIER,3,MAUGEE,Louis
Fort-de-France,COMBAT OUVRIER,4,DIGONAL,Rosette
Fort-de-France,COMBAT OUVRIER,5,BONHEUR,Daniel
Fort-de-France,COMBAT OUVRIER,6,COLLOT,Annie
Fort-de-France,COMBAT OUVRIER,7,MARTAIL,Fred
Fort-de-France,COMBAT OUVRIER,8,SOREL,Véronique
Fort-de-France,COMBAT OUVRIER,9,BATTET,Michel
Fort-de-France,COMBAT OUVRIER,10,LEPRIX,Madjanie
Fort-de-France,COMBAT OUVRIER,11,BEAUNOL,Bruno
Fort-de-France,COMBAT OUVRIER,12,TOM,Ilvrine
Fort-de-France,COMBAT OUVRIER,13,MAGIT,Jean-Jacques
Fort-de-France,COMBAT OUVRIER,14,JAUNTON,Cécilia
Fort-de-France,COMBAT OUVRIER,15,DUFEAL,Alex
Fort-de-France,COMBAT OUVRIER,16,SEVELE,Prisca
Fort-de-France,COMBAT OUVRIER,17,LECOLAS,Andy
Fort-de-France,COMBAT OUVRIER,18,VILOCY,Manuela
Fort-de-France,COMBAT OUVRIER,19,HIERSO,Alain
Fort-de-France,COMBAT OUVRIER,20,AUGUSTE-CHARLERY,Marjorie
Fort-de-France,COMBAT OUVRIER,21,BERT,Wilfried
Fort-de-France,COMBAT OUVRIER,22,GUITTEAUD,Josiane
Fort-de-France,COMBAT OUVRIER,23,ROSAMONT,Gaël
Fort-de-France,COMBAT OUVRIER,24,DUFEAL,Agnès
Fort-de-France,COMBAT OUVRIER,25,GUIOUBLY,William
Fort-de-France,COMBAT OUVRIER,26,PINTO,Marie-Aimée
Fort-de-France,COMBAT OUVRIER,27,ROBLES,Alberis
Fort-de-France,COMBAT OUVRIER,28,BROCHE,Rosella (maya)
Fort-de-France,COMBAT OUVRIER,29,NILOR,Michel
Fort-de-France,COMBAT OUVRIER,30,GERMANY,Pauline
Fort-de-France,COMBAT OUVRIER,31,BRENA,Casimir
Fort-de-France,COMBAT OUVRIER,32,ADOREL,Gisèle
Fort-de-France,COMBAT OUVRIER,33,PRIAN,Landon
Fort-de-France,COMBAT OUVRIER,34,PALKA,Olga
Fort-de-France,COMBAT OUVRIER,35,SIMOND,Philippe
Fort-de-France,COMBAT OUVRIER,36,BAYARDIN,Sonia
Fort-de-France,COMBAT OUVRIER,37,PAUTET,Vincent
Fort-de-France,COMBAT OUVRIER,38,FORTUNE,Anne-Marie
Fort-de-France,COMBAT OUVRIER,39,MICHIE DIT LOUMBA,Albert
Fort-de-France,COMBAT OUVRIER,40,LOUISY,Nicole
Fort-de-France,COMBAT OUVRIER,41,MARGUERITE,Marie Lin
Fort-de-France,COMBAT OUVRIER,42,DOUBEL,Pierrette
Fort-de-France,COMBAT OUVRIER,43,PIED,Rodrigue
Fort-de-France,COMBAT OUVRIER,44,BASTE,Marilyn
Fort-de-France,COMBAT OUVRIER,45,GERMANICUS,Maurice
Fort-de-France,COMBAT OUVRIER,46,CERSON,Ginette
Fort-de-France,COMBAT OUVRIER,47,ZAIN,Joseph
Fort-de-France,COMBAT OUVRIER,48,JOACHIM-ARNAUD,Ghislaine
Fort-de-France,COMBAT OUVRIER,49,VINCENT,Eric
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,1,MOREAU,Steeve
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,2,HIEU,Ruth Gaëlle
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,3,TANDE,Kendy Lionel Charles
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,4,NORCA,Annie
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,5,MANGATA,Eugène Jean Michel
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,6,CAGNAC,Marie-Dominique
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,7,LOSTAU,Didier
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,8,HELENE,Nathanaëlle Aurore
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,9,SUTTY,Louis-Philippe Jean
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,10,MOUNIGAN,Malika
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,11,MIAN,Jonathan
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,12,MOUFLET,Ayanna
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,13,GUITTEAUD,Willy Christophe
Fort-de-France,NOU DOUBOUT POU FODFWANS APY !,14,FONROSE,Aurélie Audrey
